profile,chapter,seed,result,steps,maxX,endX,hp,lives,bombs,kills,upgrades,brokenProps,hostiles,reason
base,3,2026091402,REACHED_BOSS,6427,7925.0,7928.7,4,2,0,29,2,4,0,WARDEN
base,4,2026091403,STEP_LIMIT,12000,7525.0,7530.0,70,3,3,32,2,3,2,DRILLER
base,5,2026091404,REACHED_BOSS,4131,7928.2,7928.2,85,1,0,28,2,8,0,MIRROR
developed,3,2026091402,REACHED_BOSS,3770,7925.0,7928.7,3,3,1,30,2,3,0,WARDEN
developed,4,2026091403,REACHED_BOSS,6209,7925.0,7928.7,66,3,3,32,2,3,0,DRILLER
developed,5,2026091404,REACHED_BOSS,3384,7925.0,7928.7,25,3,0,29,3,8,0,MIRROR
