file,state,world_tick,player_x,player_y,facing,shot_sequence,dashing,panel_width,panel_height,settings_open
menu.png,MENU,0,100.000,480.000,1,0,false,960,600,false
viewport-600x400/menu.png,MENU,0,100.000,480.000,1,0,false,600,400,false
viewport-1280x800/menu.png,MENU,0,100.000,480.000,1,0,false,1280,800,false
settings.png,MENU,0,100.000,480.000,1,0,false,960,600,true
viewport-600x400/settings.png,MENU,0,100.000,480.000,1,0,false,600,400,true
viewport-1280x800/settings.png,MENU,0,100.000,480.000,1,0,false,1280,800,true
combat.png,RUNNING,29,230.000,450.000,1,1,false,960,600,false
viewport-600x400/combat.png,RUNNING,30,230.000,450.000,1,1,false,600,400,false
viewport-1280x800/combat.png,RUNNING,32,230.000,450.000,1,1,false,1280,800,false
pause.png,PAUSED,33,230.000,450.000,1,1,false,960,600,false
viewport-600x400/pause.png,PAUSED,33,230.000,450.000,1,1,false,600,400,false
viewport-1280x800/pause.png,PAUSED,33,230.000,450.000,1,1,false,1280,800,false
upgrade.png,UPGRADE_SELECTION,34,230.000,450.000,1,1,false,960,600,false
viewport-600x400/upgrade.png,UPGRADE_SELECTION,34,230.000,450.000,1,1,false,600,400,false
viewport-1280x800/upgrade.png,UPGRADE_SELECTION,34,230.000,450.000,1,1,false,1280,800,false
legacy-boss.png,BOSS_FIGHT,47,100.000,450.000,1,0,false,960,600,false
viewport-600x400/legacy-boss.png,BOSS_FIGHT,48,100.000,450.000,1,0,false,600,400,false
viewport-1280x800/legacy-boss.png,BOSS_FIGHT,50,100.000,450.000,1,0,false,1280,800,false
legacy-boss-paused.png,PAUSED,51,100.000,450.000,1,0,false,960,600,false
viewport-600x400/legacy-boss-paused.png,PAUSED,51,100.000,450.000,1,0,false,600,400,false
viewport-1280x800/legacy-boss-paused.png,PAUSED,51,100.000,450.000,1,0,false,1280,800,false
legacy-laser-warning.png,BOSS_FIGHT,61,100.000,450.000,1,0,false,960,600,false
viewport-600x400/legacy-laser-warning.png,BOSS_FIGHT,62,100.000,450.000,1,0,false,600,400,false
viewport-1280x800/legacy-laser-warning.png,BOSS_FIGHT,64,100.000,450.000,1,0,false,1280,800,false
legacy-warning-flashes-off.png,BOSS_FIGHT,66,100.000,450.000,1,0,false,960,600,false
viewport-600x400/legacy-warning-flashes-off.png,BOSS_FIGHT,67,100.000,450.000,1,0,false,600,400,false
viewport-1280x800/legacy-warning-flashes-off.png,BOSS_FIGHT,69,100.000,450.000,1,0,false,1280,800,false
legacy-volley-warning.png,BOSS_FIGHT,189,100.000,450.000,1,0,false,960,600,false
viewport-600x400/legacy-volley-warning.png,BOSS_FIGHT,190,100.000,450.000,1,0,false,600,400,false
viewport-1280x800/legacy-volley-warning.png,BOSS_FIGHT,192,100.000,450.000,1,0,false,1280,800,false
legacy-one-link-broken.png,BOSS_FIGHT,194,100.000,450.000,1,0,false,960,600,false
viewport-600x400/legacy-one-link-broken.png,BOSS_FIGHT,195,100.000,450.000,1,0,false,600,400,false
viewport-1280x800/legacy-one-link-broken.png,BOSS_FIGHT,197,100.000,450.000,1,0,false,1280,800,false
legacy-core-exposed.png,BOSS_FIGHT,199,100.000,450.000,1,0,false,960,600,false
viewport-600x400/legacy-core-exposed.png,BOSS_FIGHT,200,100.000,450.000,1,0,false,600,400,false
viewport-1280x800/legacy-core-exposed.png,BOSS_FIGHT,202,100.000,450.000,1,0,false,1280,800,false
legacy-enraged.png,BOSS_FIGHT,204,100.000,450.000,1,0,false,960,600,false
viewport-600x400/legacy-enraged.png,BOSS_FIGHT,205,100.000,450.000,1,0,false,600,400,false
viewport-1280x800/legacy-enraged.png,BOSS_FIGHT,207,100.000,450.000,1,0,false,1280,800,false
legacy-defeated.png,BOSS_FIGHT,242,100.000,450.000,1,0,false,960,600,false
viewport-600x400/legacy-defeated.png,BOSS_FIGHT,243,100.000,450.000,1,0,false,600,400,false
viewport-1280x800/legacy-defeated.png,BOSS_FIGHT,245,100.000,450.000,1,0,false,1280,800,false
mission-complete.png,MISSION_COMPLETE,298,100.000,450.000,1,0,false,960,600,false
