tick,role,input,action,x,y,grounded,crouching,facing,aimX,aimY,phase,shotSequence,hp,muzzleX,muzzleY
10,ENGINEER,RUN_RIGHT,RUN,652.800,270.000,true,false,1,1.00000,0.00000,2.01062,1,100,685.800,270.000
11,REPAIR,RUN_RIGHT,RUN,660.000,270.000,true,false,1,1.00000,0.00000,3.14159,1,100,693.000,270.000
11,SCOUT,RUN_RIGHT,RUN,667.800,270.000,true,false,1,1.00000,0.00000,4.36681,1,100,700.800,270.000
11,WARDEN,RUN_RIGHT,RUN,652.200,270.000,true,false,1,1.00000,0.00000,1.91637,1,100,685.200,270.000
11,ENGINEER,RUN_RIGHT,RUN,657.600,270.000,true,false,1,1.00000,0.00000,2.76460,1,100,690.600,270.000
12,REPAIR,RUN_RIGHT,RUN,665.000,270.000,true,false,1,1.00000,0.00000,3.92699,1,100,698.000,270.000
12,SCOUT,RUN_RIGHT,RUN,673.450,270.000,true,false,1,1.00000,0.00000,5.25431,1,100,706.450,270.000
12,WARDEN,RUN_RIGHT,RUN,656.550,270.000,true,false,1,1.00000,0.00000,2.59967,1,100,689.550,270.000
12,ENGINEER,RUN_RIGHT,RUN,662.400,270.000,true,false,1,1.00000,0.00000,3.51858,1,100,695.400,270.000
13,REPAIR,RUN_RIGHT,RUN,670.000,270.000,true,false,1,1.00000,0.00000,4.71239,1,100,703.000,270.000
13,SCOUT,RUN_RIGHT,RUN,679.100,270.000,true,false,1,1.00000,0.00000,6.14181,1,100,712.100,270.000
13,WARDEN,RUN_RIGHT,RUN,660.900,270.000,true,false,1,1.00000,0.00000,3.28296,1,100,693.900,270.000
13,ENGINEER,RUN_RIGHT,RUN,667.200,270.000,true,false,1,1.00000,0.00000,4.27257,1,100,700.200,270.000
14,REPAIR,RUN_RIGHT,RUN,675.000,270.000,true,false,1,1.00000,0.00000,5.49779,1,100,708.000,270.000
14,SCOUT,RUN_RIGHT,RUN,684.750,270.000,true,false,1,1.00000,0.00000,0.74613,1,100,717.750,270.000
14,WARDEN,RUN_RIGHT,RUN,665.250,270.000,true,false,1,1.00000,0.00000,3.96626,1,100,698.250,270.000
14,ENGINEER,RUN_RIGHT,RUN,672.000,270.000,true,false,1,1.00000,0.00000,5.02655,1,100,705.000,270.000
15,REPAIR,RUN_RIGHT,RUN,680.000,270.000,true,false,1,1.00000,0.00000,0.00000,1,100,713.000,270.000
15,SCOUT,RUN_RIGHT,RUN,690.400,270.000,true,false,1,1.00000,0.00000,1.63363,1,100,723.400,270.000
15,WARDEN,RUN_RIGHT,RUN,669.600,270.000,true,false,1,1.00000,0.00000,4.64956,1,100,702.600,270.000
15,ENGINEER,RUN_RIGHT,RUN,676.800,270.000,true,false,1,1.00000,0.00000,5.78053,1,100,709.800,270.000
16,REPAIR,RUN_RIGHT,RUN,685.000,270.000,true,false,1,1.00000,0.00000,0.78540,1,100,718.000,270.000
16,SCOUT,RUN_RIGHT,RUN,696.050,270.000,true,false,1,1.00000,0.00000,2.52113,1,100,729.050,270.000
16,WARDEN,RUN_RIGHT,RUN,673.950,270.000,true,false,1,1.00000,0.00000,5.33285,1,100,706.950,270.000
16,ENGINEER,RUN_RIGHT,RUN,681.600,270.000,true,false,1,1.00000,0.00000,0.25133,1,100,714.600,270.000
17,REPAIR,RUN_RIGHT,RUN,690.000,270.000,true,false,1,1.00000,0.00000,1.57080,1,100,723.000,270.000
17,SCOUT,RUN_RIGHT,RUN,701.700,270.000,true,false,1,1.00000,0.00000,3.40863,1,100,734.700,270.000
17,WARDEN,RUN_RIGHT,RUN,678.300,270.000,true,false,1,1.00000,0.00000,6.01615,1,100,711.300,270.000
17,ENGINEER,RUN_RIGHT,RUN,686.400,270.000,true,false,1,1.00000,0.00000,1.00531,1,100,719.400,270.000
18,REPAIR,RUN_RIGHT,RUN,695.000,270.000,true,false,1,1.00000,0.00000,2.35619,2,100,728.000,270.000
18,SCOUT,RUN_RIGHT,RUN,707.350,270.000,true,false,1,1.00000,0.00000,4.29613,2,100,740.350,270.000
18,WARDEN,RUN_RIGHT,RUN,682.650,270.000,true,false,1,1.00000,0.00000,0.41626,2,100,715.650,270.000
18,ENGINEER,RUN_RIGHT,RUN,691.200,270.000,true,false,1,1.00000,0.00000,1.75929,2,100,724.200,270.000
19,REPAIR,RUN_RIGHT,RUN,700.000,270.000,true,false,1,1.00000,0.00000,3.14159,2,100,733.000,270.000
19,SCOUT,RUN_RIGHT,RUN,713.000,270.000,true,false,1,1.00000,0.00000,5.18363,2,100,746.000,270.000
19,WARDEN,RUN_RIGHT,RUN,687.000,270.000,true,false,1,1.00000,0.00000,1.09956,2,100,720.000,270.000
19,ENGINEER,RUN_RIGHT,RUN,696.000,270.000,true,false,1,1.00000,0.00000,2.51327,2,100,729.000,270.000
20,REPAIR,RUN_RIGHT,RUN,705.000,270.000,true,false,1,1.00000,0.00000,3.92699,2,100,738.000,270.000
20,SCOUT,RUN_RIGHT,RUN,718.650,270.000,true,false,1,1.00000,0.00000,6.07113,2,100,751.650,270.000
20,WARDEN,RUN_RIGHT,RUN,691.350,270.000,true,false,1,1.00000,0.00000,1.78285,2,100,724.350,270.000
20,ENGINEER,RUN_RIGHT,RUN,700.800,270.000,true,false,1,1.00000,0.00000,3.26726,2,100,733.800,270.000
21,REPAIR,RUN_RIGHT,RUN,710.000,270.000,true,false,1,1.00000,0.00000,4.71239,2,100,743.000,270.000
21,SCOUT,RUN_RIGHT,RUN,724.300,270.000,true,false,1,1.00000,0.00000,0.67544,2,100,757.300,270.000
21,WARDEN,RUN_RIGHT,RUN,695.700,270.000,true,false,1,1.00000,0.00000,2.46615,2,100,728.700,270.000
21,ENGINEER,RUN_RIGHT,RUN,705.600,270.000,true,false,1,1.00000,0.00000,4.02124,2,100,738.600,270.000
22,REPAIR,RUN_RIGHT,RUN,715.000,270.000,true,false,1,1.00000,0.00000,5.49779,2,100,748.000,270.000
22,SCOUT,RUN_RIGHT,RUN,729.950,270.000,true,false,1,1.00000,0.00000,1.56294,2,100,762.950,270.000
22,WARDEN,RUN_RIGHT,RUN,700.050,270.000,true,false,1,1.00000,0.00000,3.14945,2,100,733.050,270.000
22,ENGINEER,RUN_RIGHT,RUN,710.400,270.000,true,false,1,1.00000,0.00000,4.77522,2,100,743.400,270.000
23,REPAIR,RUN_RIGHT,RUN,720.000,270.000,true,false,1,1.00000,0.00000,0.00000,2,100,753.000,270.000
23,SCOUT,RUN_RIGHT,RUN,735.600,270.000,true,false,1,1.00000,0.00000,2.45044,2,100,768.600,270.000
23,WARDEN,RUN_RIGHT,RUN,704.400,270.000,true,false,1,1.00000,0.00000,3.83274,2,100,737.400,270.000
23,ENGINEER,RUN_RIGHT,RUN,715.200,270.000,true,false,1,1.00000,0.00000,5.52920,2,100,748.200,270.000
24,REPAIR,RUN_RIGHT,RUN,725.000,270.000,true,false,1,1.00000,0.00000,0.78540,2,100,758.000,270.000
24,SCOUT,RUN_RIGHT,RUN,741.250,270.000,true,false,1,1.00000,0.00000,3.33794,2,100,774.250,270.000
24,WARDEN,RUN_RIGHT,RUN,708.750,270.000,true,false,1,1.00000,0.00000,4.51604,2,100,741.750,270.000
24,ENGINEER,RUN_RIGHT,RUN,720.000,270.000,true,false,1,1.00000,0.00000,6.28319,2,100,753.000,270.000
25,REPAIR,RUN_RIGHT,RUN,730.000,270.000,true,false,1,1.00000,0.00000,1.57080,2,100,763.000,270.000
25,SCOUT,RUN_RIGHT,RUN,746.900,270.000,true,false,1,1.00000,0.00000,4.22544,2,100,779.900,270.000
25,WARDEN,RUN_RIGHT,RUN,713.100,270.000,true,false,1,1.00000,0.00000,5.19934,2,100,746.100,270.000
25,ENGINEER,RUN_RIGHT,RUN,724.800,270.000,true,false,1,1.00000,0.00000,0.75398,2,100,757.800,270.000
26,REPAIR,RUN_RIGHT,RUN,735.000,270.000,true,false,1,1.00000,0.00000,2.35619,2,100,768.000,270.000
26,SCOUT,RUN_RIGHT,RUN,752.550,270.000,true,false,1,1.00000,0.00000,5.11294,2,100,785.550,270.000
