case,width,height,draw_width,draw_height,index,simulation_publish_ms,edt_dispatch_ms,edt_paint_ms,published,enemies,player_bullets,enemy_bullets,particles
world1_normal_960,960,600,960,600,63,7.195300,0.141600,1.328700,true,6,32,12,120
world1_normal_960,960,600,960,600,64,8.234500,0.110900,1.756900,true,6,32,12,120
world1_normal_960,960,600,960,600,65,6.878700,0.099500,1.734800,true,6,32,12,120
world1_normal_960,960,600,960,600,66,9.664300,0.110500,1.313500,true,6,32,12,120
world1_normal_960,960,600,960,600,67,7.241200,0.133100,1.545900,true,6,32,12,120
world1_normal_960,960,600,960,600,68,6.558400,0.152800,1.900500,true,6,32,12,120
world1_normal_960,960,600,960,600,69,7.560200,0.126900,2.065600,true,6,32,12,120
world1_normal_960,960,600,960,600,70,6.959500,0.097800,1.261400,true,6,32,12,120
world1_normal_960,960,600,960,600,71,7.004500,0.126600,1.385300,true,6,32,12,120
world1_normal_960,960,600,960,600,72,6.699200,0.116900,1.449700,true,6,32,12,120
world1_normal_960,960,600,960,600,73,7.171400,0.105600,1.480000,true,6,32,12,120
world1_normal_960,960,600,960,600,74,6.773600,0.118900,1.577000,true,6,32,12,120
world1_normal_960,960,600,960,600,75,6.520700,0.135000,1.441000,true,6,32,12,120
world1_normal_960,960,600,960,600,76,6.261800,0.109200,1.676800,true,6,32,12,120
world1_normal_960,960,600,960,600,77,6.232900,0.142800,1.400900,true,6,32,12,120
world1_normal_960,960,600,960,600,78,6.223400,0.100300,1.271700,true,6,32,12,120
world1_normal_960,960,600,960,600,79,6.017500,0.103900,1.544700,true,6,32,12,120
world1_normal_960,960,600,960,600,80,6.397300,0.097800,1.512800,true,6,32,12,120
world1_normal_960,960,600,960,600,81,6.033300,0.115700,1.257000,true,6,32,12,120
world1_normal_960,960,600,960,600,82,6.137100,0.105900,1.445100,true,6,32,12,120
world1_normal_960,960,600,960,600,83,6.343800,0.101000,1.470500,true,6,32,12,120
world1_normal_960,960,600,960,600,84,6.466400,0.096400,1.258300,true,6,32,13,120
